Date,Open,High,Low,Close,Adj Close,Volume
2018-07-05,214.000000,215.000000,213.000000,214.500000,204.544342,18225416
2018-07-06,217.500000,217.500000,215.000000,217.000000,206.928314,29033762
2018-07-09,219.500000,223.000000,218.500000,221.500000,211.219452,38734793
2018-07-10,223.000000,224.000000,222.000000,222.000000,211.696259,20118957
2018-07-11,220.000000,220.000000,218.000000,220.000000,209.789063,19854690
2018-07-12,218.000000,222.000000,218.000000,220.500000,210.265854,23666051
2018-07-13,222.500000,224.500000,222.500000,224.500000,214.080215,29716311
2018-07-16,224.500000,225.000000,223.500000,223.500000,213.126617,15819254
2018-07-17,222.500000,223.500000,221.000000,221.500000,211.219452,21548436
2018-07-18,223.000000,224.000000,222.000000,223.000000,212.649841,39898658
2018-07-19,225.500000,227.000000,224.500000,224.500000,214.080215,39661216
2018-07-20,235.000000,237.500000,233.000000,237.500000,226.476852,97969023
2018-07-23,239.000000,245.000000,238.500000,241.000000,229.814392,52256877
2018-07-24,240.000000,241.500000,238.500000,241.000000,229.814392,27239267
2018-07-25,239.000000,241.000000,239.000000,240.500000,229.337601,20962512
2018-07-26,241.000000,242.500000,239.500000,241.000000,229.814392,30606388
2018-07-27,242.000000,244.500000,241.000000,244.500000,233.151947,27129646
2018-07-30,244.500000,245.500000,244.000000,245.500000,234.105530,22788730
2018-07-31,243.500000,246.000000,242.000000,246.000000,234.582321,27059442
2018-08-01,247.000000,248.000000,246.500000,248.000000,236.489502,29136161
2018-08-02,249.000000,249.500000,243.500000,244.500000,233.151947,22402110
2018-08-03,246.000000,248.000000,245.000000,247.000000,235.535904,24719097
2018-08-06,245.000000,247.000000,244.000000,245.500000,234.105530,22364568
2018-08-07,245.000000,245.500000,241.500000,241.500000,230.291183,23992418
2018-08-08,245.000000,247.500000,244.500000,247.500000,236.012695,24382432
2018-08-09,247.000000,248.000000,246.000000,247.000000,235.535904,15128655
2018-08-10,246.500000,247.000000,244.500000,245.000000,233.628754,15890492
2018-08-13,241.500000,243.000000,239.000000,240.500000,229.337601,17881194
2018-08-14,245.000000,245.000000,242.500000,243.500000,232.198364,17358913
2018-08-15,244.500000,244.500000,239.500000,241.500000,230.291183,18473321
2018-08-16,238.000000,241.500000,238.000000,239.000000,227.907227,19155966
2018-08-17,239.500000,241.000000,239.000000,239.500000,228.384018,18324474
2018-08-20,239.500000,240.000000,238.000000,239.500000,228.384018,16933437
2018-08-21,239.000000,241.000000,238.500000,241.000000,229.814392,12014127
2018-08-22,241.500000,242.500000,240.500000,242.000000,230.767975,12614240
2018-08-23,243.000000,244.500000,243.000000,244.500000,233.151947,14839240
2018-08-24,245.500000,246.000000,243.000000,243.500000,232.198364,14355943
2018-08-27,246.000000,246.500000,244.500000,245.000000,233.628754,15152299
2018-08-28,248.500000,250.000000,248.000000,249.500000,237.919876,36792531
2018-08-29,253.500000,259.000000,253.500000,259.000000,246.978958,56993182
2018-08-30,264.500000,268.000000,262.500000,263.500000,251.270081,48957808
2018-08-31,257.500000,259.000000,254.000000,256.000000,244.118195,69069506
2018-09-03,259.000000,260.000000,256.500000,257.000000,245.071777,26720905
2018-09-04,258.500000,259.500000,255.500000,257.500000,245.548569,34304615
2018-09-05,260.000000,264.500000,259.000000,264.000000,251.746887,44864459
2018-09-06,268.000000,268.000000,261.000000,261.000000,248.886124,35698488
2018-09-07,263.000000,264.000000,260.500000,264.000000,251.746887,38663728
2018-09-10,266.500000,266.500000,262.500000,264.500000,252.223679,41659795
2018-09-11,263.000000,263.500000,258.000000,260.000000,247.932541,34350276
2018-09-12,261.000000,262.000000,258.000000,260.500000,248.409332,37885965
2018-09-13,260.000000,260.000000,253.500000,255.000000,243.164612,37576180
2018-09-14,257.000000,261.500000,257.000000,261.000000,248.886124,37903219
2018-09-17,262.500000,262.500000,257.000000,258.000000,246.025360,24765758
2018-09-18,256.500000,257.000000,254.000000,254.500000,242.687820,33960152
2018-09-19,258.000000,260.000000,257.000000,258.000000,246.025360,59227711
2018-09-20,261.500000,261.500000,257.500000,260.000000,247.932541,29649071
2018-09-21,261.500000,261.500000,258.000000,261.500000,249.362915,35012974
2018-09-25,261.500000,264.000000,260.500000,263.500000,251.270081,24397062
2018-09-26,263.000000,263.500000,261.000000,263.500000,251.270081,24859115
2018-09-27,264.000000,266.000000,262.000000,265.000000,252.700485,38495371
2018-09-28,266.000000,266.000000,260.000000,262.500000,250.316513,39626486
2018-10-01,262.000000,264.000000,261.000000,263.000000,250.793304,22254380
2018-10-02,262.000000,263.000000,257.000000,257.500000,245.548569,38391491
2018-10-03,257.500000,260.000000,257.000000,260.000000,247.932541,25228536
2018-10-04,257.000000,257.500000,254.000000,254.000000,242.211029,36408727
2018-10-05,250.000000,253.000000,248.500000,250.000000,238.396667,40204660
2018-10-08,245.500000,246.500000,241.000000,243.500000,232.198364,50876958
2018-10-09,243.500000,245.000000,242.000000,244.000000,232.675156,28905345
2018-10-11,233.500000,233.500000,227.000000,227.500000,216.940979,94589657
2018-10-12,231.000000,237.000000,229.000000,237.000000,226.000046,47175769
2018-10-15,234.000000,234.000000,230.500000,230.500000,219.801743,42168280
2018-10-16,229.500000,237.000000,229.000000,237.000000,226.000046,37818077
2018-10-17,241.500000,243.000000,238.000000,238.500000,227.430420,42494858
2018-10-18,238.000000,239.000000,235.500000,236.500000,225.523254,25676430
2018-10-19,231.000000,236.500000,230.000000,236.000000,225.046463,28358460
2018-10-22,232.500000,238.000000,231.500000,237.000000,226.000046,29275777
2018-10-23,232.000000,234.000000,230.000000,230.000000,219.324936,32827745
2018-10-24,230.000000,231.000000,227.000000,229.500000,218.848145,44321950
2018-10-25,220.500000,222.000000,219.500000,219.500000,209.312286,75524118
2018-10-26,223.000000,224.000000,217.000000,221.000000,210.742645,38439644
2018-10-29,223.000000,224.000000,221.000000,222.500000,212.173050,18463792
2018-10-30,221.000000,225.000000,220.500000,223.000000,212.649841,28877931
2018-10-31,228.000000,234.000000,228.000000,234.000000,223.139297,57283201
2018-11-01,236.000000,237.000000,233.000000,235.500000,224.569656,41974797
2018-11-02,236.500000,236.500000,233.500000,236.500000,225.523254,30722361
2018-11-05,233.000000,235.500000,232.000000,235.000000,224.092865,25452065
2018-11-06,234.000000,235.500000,232.500000,234.500000,223.616074,30468176
2018-11-07,233.000000,236.000000,232.500000,234.000000,223.139297,34424652
2018-11-08,237.500000,237.500000,236.000000,236.500000,225.523254,24739146
2018-11-09,234.500000,234.500000,231.000000,231.000000,220.278519,23219081
2018-11-12,230.000000,234.500000,230.000000,231.500000,220.755310,23228445
2018-11-13,224.500000,228.000000,224.500000,227.500000,216.940979,36104127
2018-11-14,230.000000,231.000000,228.500000,228.500000,217.894562,20028279
2018-11-15,229.500000,232.000000,228.500000,231.000000,220.278519,22072228
2018-11-16,229.000000,229.000000,225.000000,226.000000,215.510590,46738909
2018-11-19,225.000000,225.000000,221.000000,222.000000,211.696259,48944754
2018-11-20,219.000000,220.500000,218.000000,218.000000,207.881897,41569756
2018-11-21,214.500000,220.000000,214.000000,219.000000,208.835495,35206343
2018-11-22,221.500000,222.000000,219.000000,219.000000,208.835495,21929610
2018-11-23,220.500000,220.500000,217.000000,218.500000,208.358688,14883334
2018-11-26,219.000000,224.000000,218.500000,223.000000,212.649841,30599804
2018-11-27,220.000000,224.500000,219.000000,224.000000,213.603409,26584349
2018-11-28,222.500000,227.000000,222.000000,226.500000,215.987381,24429026
2018-11-29,231.500000,231.500000,229.000000,229.000000,218.371353,44383207
2018-11-30,229.500000,231.000000,225.500000,225.500000,215.033798,55827957
2018-12-03,231.000000,235.000000,231.000000,235.000000,224.092865,45333986
2018-12-04,233.000000,234.500000,231.000000,234.000000,223.139297,39746162
2018-12-05,226.500000,227.500000,225.000000,226.000000,215.510590,42835576
2018-12-06,220.000000,222.000000,219.500000,220.000000,209.789063,40149112
2018-12-07,222.500000,223.500000,220.500000,221.000000,210.742645,25063568
2018-12-10,219.500000,220.000000,218.500000,219.000000,208.835495,19433461
2018-12-11,220.000000,223.000000,219.000000,222.500000,212.173050,27375220
2018-12-12,223.500000,227.000000,222.500000,226.500000,215.987381,26433846
2018-12-13,227.000000,227.500000,225.000000,226.000000,215.510590,32087141
2018-12-14,223.000000,223.500000,220.500000,222.500000,212.173050,38646159
2018-12-17,221.000000,225.000000,220.000000,223.500000,213.126617,18938952
2018-12-18,221.000000,223.000000,220.500000,222.500000,212.173050,30203541
2018-12-19,222.000000,225.500000,222.000000,225.500000,215.033798,23390082
2018-12-20,221.000000,222.500000,221.000000,221.000000,210.742645,35027116
2018-12-21,219.000000,224.000000,219.000000,223.500000,213.126617,43507532
2018-12-24,221.500000,221.500000,219.500000,220.000000,209.789063,22976100
2018-12-25,215.500000,218.000000,215.000000,217.500000,207.405106,19402777
2018-12-26,218.500000,219.500000,216.000000,216.500000,206.451523,16463259
2018-12-27,222.000000,224.000000,220.500000,223.000000,212.649841,21491484
2018-12-28,223.500000,225.500000,222.500000,225.500000,215.033798,29456773
2019-01-02,226.500000,226.500000,219.000000,219.500000,209.312286,32900482
2019-01-03,214.000000,218.000000,214.000000,215.500000,205.497925,34087620
2019-01-04,211.500000,211.500000,206.500000,208.000000,198.346039,65943521
2019-01-07,212.000000,214.000000,211.000000,213.000000,203.113968,35442176
2019-01-08,212.000000,212.500000,210.000000,211.000000,201.206802,22694481
2019-01-09,212.000000,216.500000,211.000000,215.500000,205.497925,46295446
2019-01-10,216.000000,216.500000,214.500000,216.000000,205.974731,20754593
2019-01-11,219.000000,220.500000,218.000000,220.500000,210.265854,28102288
2019-01-14,218.500000,220.000000,217.000000,218.500000,208.358688,17612296
2019-01-15,216.500000,221.000000,215.500000,221.000000,210.742645,38882923
2019-01-16,218.500000,220.000000,217.500000,217.500000,207.405106,28978282
2019-01-17,218.000000,221.000000,218.000000,220.500000,210.265854,21163986
2019-01-18,219.000000,220.000000,217.500000,218.500000,208.358688,49627569
2019-01-21,220.000000,223.000000,220.000000,221.000000,210.742645,29384866
2019-01-22,220.000000,223.000000,219.000000,223.000000,212.649841,28926483
2019-01-23,221.500000,222.000000,220.000000,220.500000,210.265854,16671213
2019-01-24,222.500000,222.500000,220.500000,222.500000,212.173050,26417924
2019-01-25,226.500000,227.000000,225.000000,226.000000,215.510590,46692764
2019-01-28,229.500000,229.500000,228.000000,229.000000,218.371353,26026257
2019-01-29,222.500000,225.000000,222.000000,222.500000,212.173050,41122520
2019-01-30,220.500000,221.500000,220.000000,221.000000,210.742645,44755945
2019-02-11,228.000000,229.000000,226.500000,228.000000,217.417770,78307106
2019-02-12,230.000000,230.000000,229.000000,230.000000,219.324936,29406670
2019-02-13,232.000000,232.000000,228.500000,229.000000,218.371353,28634925
2019-02-14,229.500000,230.000000,226.000000,227.000000,216.464188,23647751
2019-02-15,229.000000,229.000000,226.500000,227.000000,216.464188,22369799
2019-02-18,229.000000,230.500000,228.500000,230.000000,219.324936,16978916
2019-02-19,230.000000,230.500000,229.000000,229.000000,218.371353,16577023
2019-02-20,231.500000,234.500000,231.000000,234.500000,223.616074,30479710
